run,arch,thresh,clean_rate,mean_fp,val_iou
busi_split42_wave,UNext_Wave,0.2,0.05263157894736842,4525.984962406015,0.6242110057690785
busi_split42_wave,UNext_Wave,0.3,0.06015037593984962,4130.473684210527,0.6277095354719642
busi_split42_wave,UNext_Wave,0.4,0.06766917293233082,3831.0150375939847,0.6292099553203909
busi_split42_wave,UNext_Wave,0.5,0.09022556390977443,3568.5112781954886,0.6285054162397232
busi_split42_wave,UNext_Wave,0.6,0.09022556390977443,3314.3834586466164,0.6258210489160874
busi_split42_wave,UNext_Wave,0.7,0.09774436090225563,3052.533834586466,0.6202389860048964
busi_split42_wave,UNext_Wave,0.8,0.11278195488721804,2734.4436090225563,0.6104032737462157
busi_split42_wave,UNext_Wave,0.9,0.12781954887218044,2167.496240601504,0.5835608953624652
busi_split43_aug,UNext,0.1,0.007518796992481203,4473.466165413533,0.6288179919289322
busi_split43_aug,UNext,0.2,0.015037593984962405,3646.3609022556393,0.64242000367157
busi_split43_aug,UNext,0.3,0.015037593984962405,3207.9323308270677,0.6470682950042254
busi_split43_aug,UNext,0.4,0.03007518796992481,2896.3609022556393,0.6486958923197143
busi_split43_aug,UNext,0.5,0.045112781954887216,2634.5187969924814,0.6490563829787234
busi_split43_aug,UNext,0.6,0.06015037593984962,2391.187969924812,0.6475350507422828
busi_split43_aug,UNext,0.7,0.09022556390977443,2144.5112781954886,0.6440487261370017
busi_split43_aug,UNext,0.8,0.10526315789473684,1866.8721804511279,0.6372480905006239
busi_split43_aug,UNext,0.9,0.16541353383458646,1458.9924812030076,0.622764808448134
busi_split43_wave,UNext_Wave,0.1,0.09022556390977443,3843.0,0.6386561402143197
busi_split43_wave,UNext_Wave,0.2,0.12781954887218044,3277.127819548872,0.6504524438311405
busi_split43_wave,UNext_Wave,0.3,0.15037593984962405,2968.3533834586465,0.6538000338551143
busi_split43_wave,UNext_Wave,0.4,0.16541353383458646,2735.533834586466,0.6549756335232453
busi_split43_wave,UNext_Wave,0.5,0.18796992481203006,2533.6015037593984,0.6551142587721268
busi_split43_wave,UNext_Wave,0.6,0.18796992481203006,2338.9172932330825,0.6538022787558927
busi_split43_wave,UNext_Wave,0.7,0.21052631578947367,2142.842105263158,0.6512137120390427
busi_split43_wave,UNext_Wave,0.8,0.21804511278195488,1920.1954887218046,0.6468017442264886
busi_split43_wave,UNext_Wave,0.9,0.2781954887218045,1565.375939849624,0.6376944088174786
